                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21223,                0.17655,                0.76377,                0.99077,                0.99085,                0.98809,                0.98052,                0.28501,                0.44916,                0.64576,               0.003252,               0.003252,               0.003252
                      2,                0.36237,                0.27028,                0.76832,                0.99991,                      1,                  0.995,                0.89997,                0.50887,                0.81575,                0.65997,              0.0065788,              0.0065788,              0.0065788
                      3,                0.43795,                0.31114,                0.77983,                0.99212,                0.99085,                0.98767,                0.89416,                 0.5412,                0.65033,                 0.6778,              0.0098991,              0.0098991,              0.0098991
                      4,                0.44105,                0.30055,                0.80374,                0.99077,                0.99085,                0.98756,                0.95329,                0.40021,                0.58197,                0.67871,              0.0099703,              0.0099703,              0.0099703
                      5,                0.42858,                0.30145,                0.81134,                0.99229,                0.99238,                0.99184,                0.96128,                 0.3757,                0.52575,                0.67793,              0.0099703,              0.0099703,              0.0099703
                      6,                0.39836,                0.27689,                0.80373,                0.99838,                0.99848,                0.99495,                0.96668,                  0.394,                 0.5276,                0.68153,              0.0099604,              0.0099604,              0.0099604
                      7,                 0.3689,                0.26324,                0.81463,                0.98763,                0.98171,                0.98468,                0.96922,                0.42126,                0.60905,                0.68021,              0.0099505,              0.0099505,              0.0099505
                      8,                0.37546,                0.25541,                0.80246,                0.99223,                0.99238,                0.98949,                0.98808,                 0.2441,                 0.3816,                0.66177,              0.0099406,              0.0099406,              0.0099406
                      9,                0.36636,                 0.2562,                0.78424,                0.99377,                 0.9939,                0.99089,                0.99026,                 0.2479,                 0.4077,                0.66165,              0.0099307,              0.0099307,              0.0099307
                     10,                0.35781,                0.25246,                 0.7957,                 0.9862,                0.98628,                0.98199,                0.97771,                 0.2374,                0.37567,                0.66442,              0.0099208,              0.0099208,              0.0099208
                     11,                0.35044,                0.24455,                0.78343,                0.99534,                0.99543,                0.99134,                0.93657,                0.35345,                0.43247,                0.66114,              0.0099109,              0.0099109,              0.0099109
                     12,                0.33035,                0.23227,                0.78544,                0.98925,                0.98933,                0.98554,                0.97617,                0.26081,                0.40372,                0.66367,               0.009901,               0.009901,               0.009901
                     13,                0.32865,                0.23265,                0.78261,                0.96179,                0.96189,                0.94292,                0.93668,                0.27878,                0.43989,                0.66477,              0.0098911,              0.0098911,              0.0098911
                     14,                0.32651,                0.23544,                0.79558,                0.98466,                0.98476,                0.97651,                0.97557,                 0.2419,                0.39039,                0.66374,              0.0098812,              0.0098812,              0.0098812
                     15,                0.30884,                0.22281,                0.78875,                0.98924,                0.98933,                0.98419,                0.98264,                0.26432,                0.41263,                0.66112,              0.0098713,              0.0098713,              0.0098713
                     16,                0.30354,                0.22763,                0.78705,                0.98772,                 0.9878,                0.98207,                0.97734,                0.23888,                0.40165,                 0.6649,              0.0098614,              0.0098614,              0.0098614
                     17,                0.31675,                0.22627,                0.78837,                0.99229,                0.99238,                0.99057,                0.99029,                0.27947,                0.41071,                 0.6604,              0.0098515,              0.0098515,              0.0098515
                     18,                0.30484,                0.21717,                0.78584,                0.99534,                0.99543,                0.99111,                0.99072,                0.23997,                 0.3594,                0.65851,              0.0098416,              0.0098416,              0.0098416
                     19,                0.31061,                0.22246,                0.78419,                0.99686,                0.99695,                0.99268,                 0.9904,                0.21301,                0.35179,                0.65988,              0.0098317,              0.0098317,              0.0098317
                     20,                0.30778,                0.21686,                0.78974,                0.99381,                 0.9939,                0.99319,                0.98272,                0.23093,                0.40972,                0.65708,              0.0098218,              0.0098218,              0.0098218
                     21,                0.30045,                0.21206,                0.78378,                0.99229,                0.99238,                0.98951,                0.97737,                0.34303,                0.41537,                0.66194,              0.0098119,              0.0098119,              0.0098119
                     22,                 0.2882,                0.21587,                0.78274,                0.99684,                0.99695,                0.99489,                 0.9937,                0.22982,                0.37075,                0.65982,               0.009802,               0.009802,               0.009802
                     23,                0.28851,                0.21412,                0.78053,                0.99685,                0.99695,                 0.9944,                0.99406,                0.22309,                0.36674,                0.65626,              0.0097921,              0.0097921,              0.0097921
                     24,                 0.2806,                 0.2058,                0.77975,                0.99065,                0.99085,                0.98752,                0.98692,                0.18273,                0.33945,                0.65648,              0.0097822,              0.0097822,              0.0097822
                     25,                 0.2852,                0.21055,                0.78744,                0.99061,                0.99085,                0.98849,                0.98818,                0.22326,                0.34235,                0.65634,              0.0097723,              0.0097723,              0.0097723
                     26,                0.28388,                0.21129,                 0.7792,                0.99229,                0.99238,                0.98822,                0.98676,                0.24755,                0.36197,                0.65692,              0.0097624,              0.0097624,              0.0097624
                     27,                0.27766,                0.20818,                0.77717,                0.99687,                0.99695,                0.99299,                0.99217,                0.26363,                0.33367,                0.65688,              0.0097525,              0.0097525,              0.0097525
                     28,                0.27532,                0.19861,                0.77723,                0.98162,                0.98171,                0.97375,                0.97294,                0.18803,                0.30587,                0.65563,              0.0097426,              0.0097426,              0.0097426
                     29,                0.26888,                 0.2093,                0.78778,                0.99534,                0.99543,                0.99263,                0.98879,                0.22377,                0.35135,                0.66203,              0.0097327,              0.0097327,              0.0097327
                     30,                0.28121,                0.21292,                0.78169,                0.99382,                 0.9939,                0.98999,                0.98988,                0.19027,                0.31588,                0.65381,              0.0097228,              0.0097228,              0.0097228
                     31,                0.27567,                0.20031,                0.77656,                0.99534,                0.99543,                0.99075,                0.99075,                0.18257,                 0.3004,                0.65129,              0.0097129,              0.0097129,              0.0097129
                     32,                0.26839,                0.20439,                0.76507,                0.99077,                0.99085,                0.99124,                0.99098,                0.18289,                0.32122,                0.65532,               0.009703,               0.009703,               0.009703
                     33,                0.27128,                0.20161,                0.78134,                0.99077,                0.99085,                0.98973,                0.98932,                0.14942,                0.27647,                0.65231,              0.0096931,              0.0096931,              0.0096931
                     34,                 0.2644,                0.19875,                0.76545,                0.99537,                0.99543,                0.99406,                0.99406,                0.16058,                0.28899,                0.65201,              0.0096832,              0.0096832,              0.0096832
                     35,                0.26569,                0.19877,                0.76998,                0.99992,                      1,                  0.995,                  0.995,                0.17218,                0.27521,                0.65678,              0.0096733,              0.0096733,              0.0096733
